Release dateVersion number,Functional area,Feature
2025/11/252.1.16/3.1.3,Books and reporting,Switch views directly from the cube viewer
2025/11/252.1.16/3.1.3,Books and reporting,Select multiple members with a compact dropdown
2025/11/252.1.16/3.1.3,Books and reporting,Format text with Markdown in single cell visualization
2025/11/252.1.16/3.1.3,Books and reporting,Deploy the Planning Analytics AI assistant on the watsonx Orchestrate instance
2025/11/252.1.16/3.1.3,Modeling,Generate insights for your multivariate forecasts
2025/11/252.1.16/3.1.3,Modeling,Choose a model family for univariate forecasts
2025/11/252.1.16/3.1.3,Modeling,Perform variance analysis using AI-generated insights
2025/11/252.1.16/3.1.3,Modeling,Undo and redo actions in cube views
2025/11/252.1.16/3.1.3,Modeling,Update schedules for multiple chores in Database explorer
2025/11/252.1.16/3.1.3,Administation,Configure Planning Analytics for Microsoft Excel from Planning Analytics Administration
2025/11/252.1.16/3.1.3,Administation,Configure your custom watsonx Orchestrate instance from Planning Analytics Administation
2025/10/012.1.15/3.1.2,Plans and applications,Copy plan and task IDs from the Planning Analytics Workspace interface
2025/10/012.1.15/3.1.2,Modeling,Set minimum and maximum values in baseline forecasts
2025/10/012.1.15/3.1.2,Modeling,Edit hierarchies directly from the cube viewer
2025/10/012.1.15/3.1.2,Administation,Configure the Websheet service from Planning Analytics Administation
2025/10/012.1.15/3.1.2,Administation,Enable the Planning Analytics AI assistant per user
2025/10/012.1.15/3.1.2,Administation,Baseline forecast assets in the LCM
2025/09/242.0.107/2.1.14/3.1.1,Books and reporting,Set permissions across multiple assets
2025/09/242.0.107/2.1.14/3.1.1,Books and reporting,Customize notifications for processes run from action buttons
2025/09/242.0.107/2.1.14/3.1.1,Books and reporting,Content navigation performance improvements
2025/09/242.0.107/2.1.14/3.1.1,Books and reporting,Copy and paste large member sets in the set editor
2025/09/242.0.107/2.1.14/3.1.1,Plans and applications,Assign ownership and track progress with data accountability
2025/09/242.0.107/2.1.14/3.1.1,Plans and applications,Automate plan actions with workflow processes
2025/09/242.0.107/2.1.14/3.1.1,Modeling,Open process logs in a dedicated workbench tab
2025/09/242.0.107/2.1.14/3.1.1,Modeling,"Hierarchy editor ""expand all"" option no longer reveals hidden members"
2025/09/242.0.107/2.1.14/3.1.1,Administation,Capabilities accesssetting is limited in Planning Analytics Administation
2025/09/242.0.107/2.1.14/3.1.1,Administation,View the database creator in Planning Analytics Administration (Planning Analytics as a Service only)
2025/07/292.0.106/2.1.13,Books and reporting,Synchronize sets to action icons in Planning Analytics Workspace books
2025/07/292.0.106/2.1.13,Books and reporting,Edit calculations in the cube viewer
2025/07/292.0.106/2.1.13,Books and reporting,Use parameterized MDX queries in Planning Analytics Workspace books
2025/07/292.0.106/2.1.13,Books and reporting,Show distinct ancestors in the Set editor
2025/07/292.0.106/2.1.13,Books and reporting,Use up to three external variables in multivariate forecasts
2025/07/292.0.106/2.1.13,Books and reporting,Get insights generated for your forecasts
2025/07/292.0.106/2.1.13,Books and reporting,Export multivariate forecast values to a CSV file
2025/07/292.0.106/2.1.13,Books and reporting,Use Data explorer with natural language commands
2025/07/292.0.106/2.1.13,Plans and applications,Keep the Contribution panel open or closed based on your preference
2025/07/292.0.106/2.1.13,Modeling,Save export options with your cube view
2025/07/292.0.106/2.1.13,Modeling,Open a duplicate Drive explorer tab in the modelling workbench (Cloud only)
2025/07/292.0.106/2.1.13,Modeling,Open duplicate Cube viewer and File manager tabs in the modeling workbench
2025/07/292.0.106/2.1.13,Modeling,View and manage control objects in the Database explorer
2025/07/292.0.106/2.1.13,Modeling,Set a default member for a hierarchy
2025/07/292.0.106/2.1.13,Modeling,Run TurboIntegrator processes from Application shortcuts
